bank_name,asset_category,enforcement_action,cmp,2022_totalassets,2020_totalnie,2021_totalnie,2022_totalnie,2020_personnelcosts,2021_personnelcosts,2022_personnelcosts,2020_fte,2021_fte,2022_fte,2020_othernie,2021_othernie,2022_othernie,2020_consult,2021_consult,2022_consult,2020_legal,2021_legal,2022_legal
Howard State Bank,Community Bank,FALSE,NA,"81,928","1,457","1,711","1,718",912,"1,018","1,035",18,18,18,388,560,548,0,0,0,0,0,0
Hoyne Savings Bank,Community Bank,FALSE,NA,"466,197","9,661","10,381","10,731","5,360","5,791","6,037",89,79,79,"1,884","2,150","2,230",0,0,0,0,0,0
"HSBC Trust Company (Delaware), National Association",Community Bank,FALSE,NA,"56,215",962,944,718,655,376,178,3,1,1,282,607,540,0,0,0,0,0,0
Huntingdon Savings Bank,Community Bank,FALSE,NA,"15,823",380,358,366,238,223,225,2,2,2,119,114,111,0,0,0,0,0,0
Huntingdon Valley Bank,Community Bank,FALSE,NA,"616,578","18,556","21,536","22,091","11,582","13,696","13,466",126,143,131,"5,109","5,551","6,325",476,562,"1,217",0,0,0
Huntington Federal Savings Bank,Community Bank,FALSE,NA,"570,363","9,770","10,423","10,591","5,792","6,092","6,366",99,99,97,"3,014","3,286","3,257",0,0,0,0,0,0
Huron Community Bank,Community Bank,FALSE,NA,"316,371","7,085","7,265","7,604","4,130","3,876","4,332",64,63,64,"1,994","2,247","2,306",54,83,113,20,25,30
Huron State Bank,Community Bank,FALSE,NA,"78,725","1,659","1,671","1,711",910,953,978,16,15,13,525,477,503,2,0,0,48,0,24
Huron Valley State Bank,Community Bank,FALSE,NA,"228,141","4,394","4,743","5,685","2,680","2,795","3,415",31,31,38,"1,426","1,624","1,929",,,,,,
Hustisford State Bank,Community Bank,FALSE,NA,"70,996","1,437","1,409","1,416",970,884,839,9,10,9,305,354,413,0,0,0,0,0,0
"Hyden Citizens Bank, Inc",Community Bank,FALSE,NA,"144,446","3,874","3,905","3,991","2,031","2,088","2,108",32,34,34,"1,135","1,086","1,155",0,0,0,0,0,0
Hyperion Bank,Community Bank,FALSE,NA,"326,196","6,374","7,875","9,047","3,029","4,027","4,716",30,37,39,"2,848","3,292","3,715",0,139,137,0,323,195
i3 Bank,Community Bank,FALSE,NA,"192,874","5,679","6,165","6,346","3,906","4,013","4,335",41,41,40,"1,194","1,619","1,423",47,131,131,65,48,66
Idaho First Bank,Community Bank,FALSE,NA,"573,260","12,961","14,129","14,544","7,425","8,632","9,017",78,80,81,"4,643","4,491","4,107",549,535,0,0,0,0
Idaho Trust Bank,Community Bank,FALSE,NA,"185,315","7,406","7,597","8,231","4,937","5,035","5,469",45,46,45,"1,882","1,907","2,124",0,122,0,0,0,0
Illini State Bank,Community Bank,FALSE,NA,"160,558","2,212","2,231","2,305","1,378","1,398","1,393",20,19,19,500,490,644,6,5,8,5,6,9
Impact Bank,Community Bank,FALSE,NA,"163,079","4,043","3,587","3,483","2,176","2,110","1,877",26,23,21,"1,490","1,079","1,206",0,0,0,0,0,0
"INB, National Association",Community Bank,FALSE,NA,"1,820,094","38,826","39,982","43,486","22,765","23,905","25,737",273,268,278,"11,800","12,000","13,234","1,003",850,"1,062",0,0,51
InBank,Community Bank,FALSE,NA,"1,244,117","19,992","22,249","31,765","12,351","14,029","16,856",103,113,165,"5,495","6,117","11,462",0,0,0,630,600,0
"Incommons Bank, National Association",Community Bank,FALSE,NA,"230,089","7,025","7,261","7,572","3,258","3,465","3,669",55,55,54,"2,610","2,727","2,623",338,0,0,0,0,0
IncredibleBank,Community Bank,FALSE,NA,"1,895,358","51,631","51,537","51,553","34,459","33,516","32,849",257,253,268,"11,535","12,065","12,255",634,824,933,431,451,648
Independence Bank,Community Bank,FALSE,NA,"1,181,012","16,066","17,803","18,903","9,980","10,710","11,384",116,119,134,"4,326","5,304","5,519",0,0,0,0,0,0
Independence Bank,Community Bank,FALSE,NA,"173,327","4,104","4,089","3,944","3,042","2,904","2,471",21,21,21,938,996,"1,301",0,0,0,0,0,0
Independence Bank,Community Bank,FALSE,NA,"42,380","3,690","3,670","4,971","1,945","2,038","2,147",16,17,16,"1,412","1,335","2,562",0,0,0,0,484,209
Independence State Bank,Community Bank,FALSE,NA,"81,378","2,218","2,325","2,267","1,285","1,346","1,324",16,16,16,587,614,597,0,0,0,3,-4,0
Independent Bank,Community Bank,FALSE,NA,"1,312,940","39,486","40,915","43,584","24,927","25,947","27,824",223,224,227,"10,572","10,853","11,528",0,0,0,0,0,0
"Independent Correspondent Bankers' Bank, Inc.",Community Bank,FALSE,NA,"146,469","2,843","3,107","4,272","1,830","1,811","2,388",25,27,29,649,873,"1,437",0,0,0,0,0,0
Independent Farmers Bank,Community Bank,FALSE,NA,"159,262","3,280","3,463","3,609","2,238","2,403","2,489",31,29,30,727,733,784,0,0,0,0,0,0
Industrial Bank,Community Bank,FALSE,NA,"722,995","26,268","25,830","25,952","13,787","13,578","13,445",144,136,137,"8,795","8,864","9,549",921,0,"1,107",0,0,0
Industry State Bank,Community Bank,FALSE,NA,"878,450","16,496","16,876","17,617","10,204","10,322","10,674",107,107,111,"4,198","4,482","5,028",16,15,7,22,13,76
Infinity Bank,Community Bank,FALSE,NA,"310,200","5,706","6,807","7,597","3,872","4,671","5,385",25,27,31,"1,296","1,618","1,706",169,179,202,100,145,0
InFirst Bank,Community Bank,FALSE,NA,"506,725","13,147","14,472","15,208","7,499","8,250","9,177",103,113,120,"4,312","4,858","4,559",0,0,0,0,0,0
Inland Bank and Trust,Community Bank,FALSE,NA,"1,235,452","52,995","52,324","39,568","38,065","37,374","26,402",306,309,165,"10,982","11,234","10,147",972,841,0,0,0,0
InsBank,Community Bank,FALSE,NA,"749,305","9,960","11,401","12,973","6,024","7,094","8,076",45,50,56,"2,736","3,280","3,658",,,,,,
INSOUTH Bank,Community Bank,FALSE,NA,"472,434","14,233","14,644","16,076","8,596","8,800","9,713",92,93,102,"3,590","3,821","4,239",0,0,0,0,0,0
Integrity Bank,Community Bank,FALSE,NA,"83,942","2,121","1,856","1,955",956,948,981,14,15,14,986,804,837,195,0,0,26,0,0
Integrity Bank & Trust,Community Bank,FALSE,NA,"323,221","8,080","8,951","9,435","5,167","6,004","6,041",58,64,63,"2,230","2,176","2,449",0,0,0,0,0,0
Integrity Bank for Business,Community Bank,FALSE,NA,"91,932",NA,"2,009","2,972",NA,985,"1,743",NA,12,12,NA,886,"1,011",,0,0,,0,0
Integrity Bank Plus,Community Bank,FALSE,NA,"87,729","1,987","2,590","2,259","1,384","1,514","1,492",15,14,15,332,566,399,0,0,0,0,112,41
Integro Bank,Community Bank,FALSE,NA,"38,311",NA,NA,"9,131",NA,NA,"3,851",NA,NA,28,NA,NA,"5,245",,,0,,,0
"Interamerican Bank, A Federal Savings Bank",Community Bank,FALSE,NA,"262,016","7,743","7,981","8,390","4,694","4,769","5,113",69,72,71,"1,957","2,098","1,956",401,292,278,0,0,0
Intercity State Bank,Community Bank,FALSE,NA,"259,345","3,527","3,830","4,098","2,017","2,230","2,412",34,38,31,"1,089","1,087","1,157",0,0,0,0,0,0
"Intercredit Bank, National Association",Community Bank,FALSE,NA,"535,200","12,144","13,335","14,191","7,781","8,478","9,179",74,76,81,"2,924","3,417","3,626",433,400,414,,,
International Bank of Chicago,Community Bank,FALSE,NA,"963,828","16,636","17,592","17,046","8,680","9,443","9,643",124,116,118,"6,269","6,609","5,712","2,144","2,413","1,265",0,0,0
International Bank of Commerce,Community Bank,FALSE,NA,"449,571","13,027","11,785","11,690","3,990","3,780","3,893",97,89,80,"6,729","5,676","5,552",,,,,,
International Bank of Commerce,Community Bank,FALSE,NA,"1,644,662","41,043","36,433","39,091","13,886","12,119","12,522",278,277,251,"18,107","16,301","18,489",,,,,,
International Finance Bank,Community Bank,FALSE,NA,"944,447","17,806","19,751","22,856","10,011","11,577","14,072",102,107,115,"5,054","5,524","6,213",,450,,,,
Interstate Bank,Community Bank,FALSE,NA,"273,638","5,886","5,521","5,604","3,278","3,240","3,445",37,34,33,"1,752","1,783","1,640",156,169,158,0,0,0
Interstate Federal Savings and Loan Association,Community Bank,FALSE,NA,"6,855",245,236,235,152,140,146,2,2,2,75,76,64,4,4,5,5,3,4
Intracoastal Bank,Community Bank,FALSE,NA,"488,470","6,839","9,229","9,911","4,072","6,087","6,318",40,42,41,"2,145","2,550","2,996",241,448,501,0,0,0
Investment Savings Bank,Community Bank,FALSE,NA,"107,687","2,203","2,190","2,228","1,082","1,066","1,067",15,14,15,851,808,842,0,0,0,0,0,0
Investors Community Bank,Community Bank,FALSE,NA,"99,401","1,754",243,"1,767",831,116,882,16,16,16,674,94,609,0,0,0,0,0,0
Iowa Falls State Bank,Community Bank,FALSE,NA,"151,939","3,422","3,829","4,048","2,101","2,205","2,482",34,33,33,"1,015","1,289","1,232",0,0,0,0,135,0
Iowa Savings Bank,Community Bank,FALSE,NA,"266,870","4,835","4,939","5,104","2,905","2,859","3,041",36,37,34,"1,429","1,543","1,584",0,0,0,0,0,0
Iowa State Bank,Community Bank,FALSE,NA,"186,550","2,519","2,605","2,836","1,570","1,581","1,744",21,22,22,699,757,826,0,0,0,0,0,0
Iowa State Bank,Community Bank,FALSE,NA,"467,069","11,434","11,755","12,876","7,391","7,369","8,643",79,82,81,"2,226","2,245","2,319",0,0,0,0,0,0
Iowa State Bank,Community Bank,FALSE,NA,"427,593","8,749","8,426","8,337","5,415","5,222","4,866",51,50,49,"2,277","2,180","2,408",194,195,286,64,23,19
Iowa State Bank,Community Bank,FALSE,NA,"406,525","5,843","5,751","5,117","3,411","3,425","2,453",37,32,31,"2,097","2,097","2,427",0,0,0,219,135,105
Iowa State Bank,Community Bank,FALSE,NA,"971,627","14,077","15,192","17,910","8,190","8,638","10,222",89,100,106,"4,111","4,475","5,271",0,0,0,76,67,0
Iowa State Bank and Trust Company,Community Bank,FALSE,NA,"210,835","3,640","4,021","4,583","2,243","2,632","2,964",27,31,32,926,886,"1,058",0,0,0,16,5,0
Iowa State Savings Bank,Community Bank,FALSE,NA,"258,491","5,725","5,237","5,521","2,811","2,506","2,602",36,34,34,"1,862","1,850","2,055",0,0,0,0,0,0
Iowa Trust & Savings Bank,Community Bank,FALSE,NA,"462,020","6,833","8,153","7,959","4,333","5,380","4,874",31,35,40,"1,918","2,203","2,450",309,330,386,0,0,0
Iowa Trust and Savings Bank,Community Bank,FALSE,NA,"237,208","3,697","3,786","3,856","2,290","2,302","2,298",30,30,28,918,"1,014","1,071",0,0,0,0,0,0
Ipava State Bank,Community Bank,FALSE,NA,"190,833","5,552","5,968","5,908","3,483","3,763","3,667",36,36,34,"1,338","1,529","1,476",,,,,,
Ipswich State Bank,Community Bank,FALSE,NA,"69,345","1,142","1,135","1,187",671,719,710,8,7,7,324,265,303,0,0,0,0,0,0
Ireland Bank,Community Bank,FALSE,NA,"367,391","10,207","10,467","10,806","5,942","5,950","6,010",95,98,90,"2,559","2,824","3,084",0,13,18,0,-16,54
Iron Workers Savings Bank,Community Bank,FALSE,NA,"213,663","5,114","5,373","5,229","2,857","3,008","2,923",29,28,28,"1,637","1,771","1,725",0,0,0,0,0,0
Iroquois Farmers State Bank,Community Bank,FALSE,NA,"151,384","2,605","2,527","2,669","1,694","1,646","1,718",26,27,26,704,643,694,0,0,0,0,0,0
Iroquois Federal Savings and Loan Association,Community Bank,FALSE,NA,"823,727","17,461","18,535","19,457","10,916","11,608","12,277",109,108,111,"4,688","5,006","5,245",0,0,0,0,0,0
Isabella Bank,Community Bank,FALSE,NA,"1,981,367","50,080","42,439","45,594","23,761","23,741","24,877",340,330,347,"18,024","10,524","11,831",,,,,,
Itasca Bank & Trust Co.,Community Bank,FALSE,NA,"731,397","15,621","15,871","17,107","9,914","10,162","10,932",93,93,98,"4,393","4,069","4,549",0,0,0,0,0,0
Ixonia Bank,Community Bank,FALSE,NA,"607,423","42,258","66,210","55,262","28,470","45,475","37,274",287,348,381,"10,945","16,481","12,832",705,948,917,126,301,494
Jackson County Bank,Community Bank,FALSE,NA,"816,726","21,846","23,306","24,545","12,726","13,155","13,888",136,143,152,"7,015","7,898","8,239",281,443,349,240,155,269
Jackson County Bank,Community Bank,FALSE,NA,"164,445","3,759","3,506","3,611","2,272","2,216","2,290",38,38,38,"1,242","1,040","1,068",0,0,0,0,0,0
Jackson Federal Savings & Loan Association,Community Bank,FALSE,NA,"35,612",902,935,889,524,557,510,5,5,5,291,298,252,,,,,,
Jackson Parish Bank,Community Bank,FALSE,NA,"71,124","1,671","1,670","1,703","1,035","1,026","1,022",15,16,16,478,483,495,0,0,0,0,0,0
"Jackson Savings Bank, SSB",Community Bank,FALSE,NA,"32,044",794,663,703,388,295,341,5,5,5,328,294,297,,,,,,
James Polk Stone Community Bank,Community Bank,FALSE,NA,"326,263","9,433","10,647","11,429","4,966","5,642","5,811",80,85,86,"3,332","3,827","4,351",0,0,0,0,0,0
Janesville State Bank,Community Bank,FALSE,NA,"90,538","1,634","1,620","1,928","1,114","1,027","1,127",9,9,9,444,523,706,0,0,0,0,0,0
Jarrettsville Federal Savings and Loan Association,Community Bank,FALSE,NA,"146,660","2,539","2,675","2,924","1,517","1,528","1,712",13,13,14,798,934,"1,007",0,0,0,0,0,0
JD Bank,Community Bank,FALSE,NA,"1,238,214","33,181","34,680","36,449","18,172","18,011","18,936",237,234,248,"10,082","11,513","12,276",0,0,0,0,0,0
Jeff Bank,Community Bank,FALSE,NA,"683,198","14,944","15,189","15,040","9,486","9,654","9,403",126,116,114,"3,815","3,870","3,971",0,0,0,0,0,0
Jefferson Security Bank,Community Bank,FALSE,NA,"461,234","8,280","8,894","9,808","4,217","4,322","5,041",60,71,69,"2,829","3,369","3,627",0,0,0,0,0,0
Jersey Shore State Bank,Community Bank,FALSE,NA,"1,451,067","26,427","27,509","28,149","15,313","16,173","16,756",250,242,230,"7,048","6,691","6,400",363,382,417,103,115,126
Jersey State Bank,Community Bank,FALSE,NA,"173,299","3,951","3,975","3,794","2,281","2,191","2,032",32,28,25,"1,300","1,415","1,407",0,0,0,0,0,0
Jewett City Savings Bank,Community Bank,FALSE,NA,"403,286","10,674","12,349","12,549","6,134","6,853","7,242",83,83,86,"2,749","3,595","3,415",212,295,273,0,0,0
Jim Thorpe Neighborhood Bank,Community Bank,FALSE,NA,"245,314","5,242","5,094","5,260","3,267","3,035","3,193",42,41,41,"1,519","1,604","1,648",,,,,,
Johnson City Bank,Community Bank,FALSE,NA,"147,598","3,165","2,642","3,163","1,440","1,125","1,575",22,21,22,"1,207","1,101","1,067",0,0,0,0,0,0
Johnson County Bank,Community Bank,FALSE,NA,"148,665","3,347","4,181","3,719","2,098","2,729","2,265",23,22,22,"1,104","1,334","1,316",0,0,0,0,0,0
Johnson State Bank,Community Bank,FALSE,NA,"103,837","1,956","2,028","2,177",988,"1,068","1,213",17,17,17,592,595,619,0,0,0,7,0,0
Jonah Bank of Wyoming,Community Bank,FALSE,NA,"549,789","12,733","14,016","12,892","8,733","9,551","8,520",79,85,85,"2,533","2,859","2,727",0,0,0,0,0,0
Jones Bank,Community Bank,FALSE,NA,"401,999","7,639","7,789","7,953","5,333","5,334","5,323",55,53,55,"1,406","1,567","1,718",0,0,0,0,0,0
Jonesboro State Bank,Community Bank,FALSE,NA,"663,283","7,230","5,142","7,463","1,863","2,104","2,197",17,20,19,"5,149","2,843","5,103",0,0,0,0,379,224
Jonesburg State Bank,Community Bank,FALSE,NA,"127,384","2,934","3,082","3,218","1,648","1,677","1,777",25,24,25,862,"1,000","1,029",0,0,0,0,0,0
Jonestown Bank and Trust Company,Community Bank,FALSE,NA,"868,113","18,535","22,142","22,802","9,809","11,631","11,905",162,161,161,"6,624","8,439","8,878",,,0,,,0
Junction National Bank,Community Bank,FALSE,NA,"90,982","1,471","1,555","1,600",734,744,812,12,12,12,654,728,706,0,0,0,0,0,0
Kahoka State Bank,Community Bank,FALSE,NA,"63,035","1,457","1,646","1,715",787,892,930,14,16,16,460,527,562,0,0,0,5,0,9
Kalamazoo County State Bank,Community Bank,FALSE,NA,"127,639","3,382","3,446","3,613","1,847","1,900","1,898",35,29,35,"1,179","1,164","1,349",0,0,0,0,0,0
Kansas State Bank,Community Bank,FALSE,NA,"191,863","3,445","3,440","3,556","1,852","1,845","1,922",30,31,31,"1,233","1,223","1,253",49,52,56,18,12,12
Kansas State Bank,Community Bank,FALSE,NA,"87,954","1,714","1,818","1,916","1,021","1,050","1,081",13,13,13,545,611,682,1,0,1,0,0,2
KansasLand Bank,Community Bank,FALSE,NA,"49,551","1,804","1,916","1,748",927,"1,011",919,13,13,12,714,741,668,0,0,0,0,0,0
KANZA Bank,Community Bank,FALSE,NA,"278,919","7,367","7,870","8,563","4,196","4,316","4,774",52,54,51,"2,386","2,628","2,711",0,0,0,0,0,0
Katahdin Trust Company,Community Bank,FALSE,NA,"981,838","23,968","24,182","25,238","13,982","14,867","15,304",161,162,165,"5,495","5,788","6,002",,,,,,
Kaw Valley Bank,Community Bank,FALSE,NA,"307,645","8,797","8,913","9,066","4,998","5,197","5,184",77,70,78,"2,849","2,799","2,934",0,0,0,25,42,35
Kaw Valley State Bank,Community Bank,FALSE,NA,"71,844","1,401","1,422","1,544",784,786,885,11,11,11,494,505,558,0,0,0,0,0,0
Kearney Trust Company,Community Bank,FALSE,NA,"283,932","4,846","5,087","5,303","2,776","2,835","2,938",35,34,37,"1,673","1,870","2,025",0,0,0,0,0,0
Kearny County Bank,Community Bank,FALSE,NA,"265,623","5,657","6,171","6,631","3,443","3,840","4,092",41,47,48,"1,806","1,889","2,172",0,0,0,0,0,0
"KEB Hana Bank USA, National Association",Community Bank,FALSE,NA,"385,677","10,927","9,980","11,427","5,099","4,948","6,094",41,40,47,"3,436","2,799","3,118",424,509,321,0,0,0
"Keen Bank, National Association",Community Bank,FALSE,NA,"182,089","4,955","5,027","4,978","3,214","3,183","3,106",36,37,34,"1,284","1,381","1,408",0,0,0,0,0,0
Kendall Bank,Community Bank,FALSE,NA,"129,299","2,356","6,925","6,267","1,451","3,863","3,229",27,44,30,552,"2,387","2,425",,,168,,146,
Kennebec Savings Bank,Community Bank,FALSE,NA,"1,640,422","27,486","36,044","34,403","16,014","19,838","21,156",146,178,187,"8,397","12,615","9,670",0,0,0,0,0,0
Kennebunk Savings Bank,Community Bank,FALSE,NA,"1,846,791","42,543","47,266","52,400","22,712","27,617","30,855",300,324,323,"13,243","13,021","14,889",427,409,420,11,13,10
Kennett Trust Bank,Community Bank,FALSE,NA,"136,877","3,442","3,318","3,530","1,649","1,565","1,664",24,20,22,"1,332","1,312","1,369",0,0,0,168,162,165
Kensington Bank,Community Bank,FALSE,NA,"359,764","9,945","10,221","9,988","5,997","6,273","6,055",65,67,64,"2,339","2,389","2,330",172,176,192,232,0,0
Kentland Bank,Community Bank,FALSE,NA,"340,251","8,053","8,304","8,824","4,624","4,723","4,934",61,60,62,"2,613","2,846","3,047",0,0,0,16,42,30
Kentland Federal Savings and Loan Association,Community Bank,FALSE,NA,"3,081",179,185,180,133,139,132,2,2,2,36,36,37,0,0,0,0,0,0
Kentucky Farmers Bank Corporation,Community Bank,FALSE,NA,"267,317","7,234","6,280","6,828","3,862","3,802","4,267",62,61,63,"2,841","1,884","1,885",0,0,0,250,0,0
Kerndt Brothers Savings Bank,Community Bank,FALSE,NA,"346,622","8,136","9,742","8,533","4,859","5,595","5,087",61,69,59,"2,333","2,960","2,444",0,419,0,0,0,0
Key Community Bank,Community Bank,FALSE,NA,"95,359","1,775","2,009","2,063","1,062","1,247","1,260",12,11,13,532,551,576,0,0,0,0,0,0
Key National Trust Company of Delaware,Community Bank,FALSE,NA,"6,481",515,552,645,328,318,444,2,2,1,132,184,150,0,0,0,0,0,0
KeySavings Bank,Community Bank,FALSE,NA,"86,387","2,350","2,157","2,597","1,282","1,179","1,505",17,16,17,823,755,863,0,0,0,1,0,0
"Keystone Bank, SSB",Community Bank,FALSE,NA,"758,943","8,915","11,212","14,161","5,231","6,547","8,200",47,54,68,"2,667","3,457","4,581",359,295,0,100,114,131
Keystone Savings Bank,Community Bank,FALSE,NA,"169,127","4,451","4,912","4,671","2,689","2,881","2,611",31,31,30,"1,070","1,238","1,284",0,0,0,0,0,0
Kindred State Bank,Community Bank,FALSE,NA,"40,198",980,985,"1,006",643,635,660,6,6,6,287,295,290,0,0,1,4,2,0
Kingston National Bank,Community Bank,FALSE,NA,"504,958","9,551","10,646","12,070","5,211","5,915","6,492",72,73,79,"3,551","3,878","4,585",0,0,0,0,0,0
Kingstree Federal Savings and Loan Association,Community Bank,FALSE,NA,"36,100",759,837,851,344,375,349,7,6,6,355,398,440,61,71,79,7,8,7
Kinmundy Bank,Community Bank,FALSE,NA,"64,806","1,171","1,070","1,182",769,696,727,9,9,9,286,245,315,0,0,0,0,0,0
Kirkpatrick Bank,Community Bank,FALSE,NA,"1,035,891","18,465","19,604","20,820","10,833","11,498","12,967",107,108,122,"4,512","4,848","4,746",0,413,708,0,0,0
Kirkwood Bank and Trust Company,Community Bank,FALSE,NA,"319,073","7,704","7,854","7,796","5,242","5,262","5,050",56,56,55,"1,487","1,679","1,763",7,5,9,1,3,1
Kish Bank,Community Bank,FALSE,NA,"1,294,758","29,034","32,064","34,349","17,575","19,614","20,780",207,223,235,"8,441","8,452","9,088",518,471,712,73,0,0
Kitsap Bank,Community Bank,FALSE,NA,"1,638,436","40,775","43,712","42,903","26,861","27,629","26,891",267,259,263,"10,516","11,674","11,046",,,,,,
"Kleberg Bank, N.A.",Community Bank,FALSE,NA,"712,858","18,374","18,627","18,863","10,652","11,037","11,146",143,132,126,"5,281","5,112","5,373",0,0,0,0,0,0
KodaBank,Community Bank,FALSE,NA,"415,103","6,585","6,947","7,544","4,018","4,425","4,801",52,61,56,"1,741","1,476","1,775",0,0,0,0,0,0
Kress National Bank,Community Bank,FALSE,NA,"56,392","1,174","1,180","1,085",675,675,575,7,7,6,390,378,377,0,0,0,34,28,30
"KS Bank, Inc.",Community Bank,FALSE,NA,"547,269","12,004","12,765","14,445","6,666","7,104","7,875",82,85,87,"3,912","4,102","4,899",0,0,0,0,0,0
Labette Bank,Community Bank,FALSE,NA,"508,032","12,063","12,583","12,805","7,237","7,131","7,226",101,101,97,"3,472","4,061","4,200",0,0,0,0,0,0
Ladysmith Federal Savings & Loan Association,Community Bank,FALSE,NA,"77,616","1,689","1,668","1,871",947,954,"1,022",11,12,13,645,613,742,0,0,0,0,0,0
Lafayette State Bank,Community Bank,FALSE,NA,"186,292","5,504","6,067","6,899","2,359","2,688","3,174",45,48,51,"2,455","2,680","2,986",,,,76,94,99
Lake Central Bank,Community Bank,FALSE,NA,"206,645","4,546","4,570","4,756","2,821","2,793","2,901",34,32,31,995,957,"1,070",373,351,405,,,
Lake City Federal Bank,Community Bank,FALSE,NA,"82,149","2,063","2,058","2,122","1,083",985,"1,054",15,15,13,642,692,665,0,0,0,0,0,0
Lake Community Bank,Community Bank,FALSE,NA,"164,065","2,869",0,"3,399","1,724",0,"1,726",15,15,13,853,0,"1,449",0,0,0,0,0,0
Lake Country Community Bank,Community Bank,FALSE,NA,"35,943",868,879,868,410,418,337,7,6,5,391,380,444,0,0,153,0,0,0
Lake Elmo Bank,Community Bank,FALSE,NA,"530,050","11,008","11,591","12,791","8,232","8,491","9,155",76,82,72,"2,186","2,467","2,801",18,36,36,149,119,31
Lake Region Bank,Community Bank,FALSE,NA,"152,017","4,926","5,148","5,210","2,898","2,995","3,002",35,34,32,"1,585","1,678","1,713",9,43,25,9,2,0
Lake Shore Savings Bank,Community Bank,FALSE,NA,"699,568","15,641","16,658","19,021","8,349","8,727","9,545",115,110,117,"4,737","5,115","6,442",0,0,"1,194",0,0,0
Lake-Osceola State Bank,Community Bank,FALSE,NA,"401,813","8,318","9,031","10,284","4,540","4,993","5,674",66,76,78,"2,558","2,674","2,941",67,70,89,14,15,6
Lakeside Bank,Community Bank,FALSE,NA,"273,359","3,065","3,339","3,924","1,182","1,325","1,903",12,15,16,"1,567","1,771","1,783",0,0,0,0,155,147
Lakeside Bank,Community Bank,FALSE,NA,"352,615","6,617","7,122","8,375","4,014","3,991","5,015",46,46,51,"1,773","2,123","2,418",0,0,0,0,0,0
Lakeside Bank of Salina,Community Bank,FALSE,NA,"58,584","1,439","1,422","1,557",805,822,911,13,13,14,527,283,291,0,0,0,0,0,0
Lakeview Bank,Community Bank,FALSE,NA,"146,357","3,410","3,811","3,899","2,121","2,469","2,378",17,19,19,"1,015","1,086","1,216",,,,,,
Lamar Bank and Trust Company,Community Bank,FALSE,NA,"225,870","4,670","5,054","5,228","3,024","3,280","3,315",34,37,35,"1,388","1,528","1,650",0,0,0,0,0,0
Lamar National Bank,Community Bank,FALSE,NA,"371,832","7,694","9,302","11,390","3,985","5,052","5,716",54,62,64,"2,838","3,140","3,913",0,0,0,0,0,0
Lamont Bank of St. John,Community Bank,FALSE,NA,"69,252",872,975,998,550,598,635,6,5,5,254,320,310,25,13,14,0,0,0
Landmark Bank,Community Bank,FALSE,NA,"183,373","5,097","5,735","5,945","2,945","3,387","3,415",40,42,45,"1,565","1,745","1,872",0,125,120,0,0,0
Landmark National Bank,Community Bank,FALSE,NA,"1,498,800","35,476","36,856","41,360","20,657","20,157","20,405",282,264,276,"10,143","11,870","15,232",917,973,,,,
Laona State Bank,Community Bank,FALSE,NA,"268,575","4,054","4,433","5,003","2,445","2,354","2,642",39,38,47,"1,050","1,555","1,775",0,0,0,103,104,143
LaSalle State Bank,Community Bank,FALSE,NA,"169,230","3,691","3,843","4,159","2,186","2,159","2,337",30,27,29,"1,186","1,343","1,441",0,0,0,0,0,0
Latimer State Bank,Community Bank,FALSE,NA,"68,918","1,085",938,869,412,395,303,8,6,6,494,394,421,74,53,40,,,
Lawrenceburg Federal Bank,Community Bank,FALSE,NA,"75,053","1,912","1,965","2,130","1,102","1,091","1,140",15,14,15,646,702,787,0,0,0,0,0,0
LCA Bank Corporation,Community Bank,FALSE,NA,"220,200","6,870","9,151","9,325","5,508","6,580","6,087",57,57,64,"1,055","2,159","2,807",209,261,427,0,0,0
LCNB National Bank,Community Bank,FALSE,NA,"1,915,139","46,331","48,393","48,367","27,041","27,367","27,953",331,307,309,"13,812","15,169","15,027",0,0,0,0,0,0
Lea County State Bank,Community Bank,FALSE,NA,"561,054","9,621","10,977","12,554","4,854","5,334","6,293",69,75,75,"3,781","4,598","5,288",0,0,0,0,0,0
Lead Bank,Community Bank,FALSE,NA,"819,135","89,499","99,143","57,750","9,540","11,652","9,382",91,92,129,"78,220","85,720","47,529",0,0,0,0,0,0
Ledyard National Bank,Community Bank,FALSE,NA,"741,673","21,503","24,871","25,715","13,841","15,662","16,071",109,107,113,"5,169","6,566","6,891",,,,,,
Lee Bank,Community Bank,FALSE,NA,"529,900","14,540","14,675","15,464","9,016","9,194","9,637",77,80,76,"4,372","4,339","4,676",0,0,0,0,0,0
Lee Bank and Trust Company,Community Bank,FALSE,NA,"242,399","4,697","4,722","5,464","2,721","2,708","3,372",44,42,44,"1,334","1,379","1,455",22,38,38,9,49,24
Lee County Bank,Community Bank,FALSE,NA,"280,834","4,198","4,424","4,982","2,532","2,605","2,714",33,32,28,988,"1,112","1,551",0,0,0,0,0,0
Legacy Bank,Community Bank,FALSE,NA,"320,069","5,766","5,365","5,776","3,301","2,946","2,849",60,57,55,"1,700","1,755","1,928",,,,,,
Legacy Bank,Community Bank,FALSE,NA,"629,053","21,893","20,423","22,237","13,712","13,391","13,695",154,152,149,"5,764","4,709","5,758",,,,,,
Legacy Bank,Community Bank,FALSE,NA,"618,429","12,499","12,976","12,976","7,540","8,066","8,186",96,95,97,"3,029","2,892","2,884",0,0,0,0,0,0
